feature,mean_abs_shap
PREV_RATE_DOWN_PAYMENT_MAX,0.006261160277288519
INSTAL_AMT_INSTALMENT_MAX,0.006231420330245481
INSTAL_NUM_INSTALMENT_NUMBER_MEAN,0.006174981972606003
CC_AMT_PAYMENT_CURRENT_SUM,0.00605119818508775
BUREAU_DAYS_CREDIT_UPDATE_MAX,0.006024109028874721
BUREAU_CREDIT_ACTIVE_Active_SHARE,0.006000873864687582
PREV_CNT_PAYMENT_SUM,0.005900605433835112
HOUR_APPR_PROCESS_START,0.00571773848456246
BUREAU_DAYS_CREDIT_ENDDATE_SUM,0.005700525407833136
PREV_AMT_GOODS_PRICE_MIN,0.005679779412864593
BUREAU_AMT_CREDIT_SUM_DEBT_MAX,0.005602892314581492
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,0.00558046549896257
PREV_CNT_PAYMENT_MAX,0.0055435073806847646
BUREAU_DAYS_CREDIT_MIN,0.00552337655375897
BUREAU_AMT_CREDIT_MAX_OVERDUE_STD,0.005514961627026895
CC_CNT_DRAWINGS_ATM_CURRENT_STD,0.005415397819344032
PREV_NAME_CONTRACT_STATUS_Canceled_SHARE,0.005390293820204149
BUREAU_AMT_CREDIT_SUM_LIMIT_MAX,0.005176340336089598
PREV_HOUR_APPR_PROCESS_START_STD,0.005032876120448412
PREV_AMT_DOWN_PAYMENT_MEAN,0.004985390873047392
PREV_NFLAG_INSURED_ON_APPROVAL_MEAN,0.004977408179985459
CC_CNT_DRAWINGS_ATM_CURRENT_SUM,0.004954464197127746
PREV_RATE_DOWN_PAYMENT_MIN,0.00488556648625979
BUREAU_DAYS_CREDIT_ENDDATE_STD,0.0047884916985575015
YEARS_BEGINEXPLUATATION_MEDI,0.004723953772759571
INSTAL_AMT_PAYMENT_MAX,0.004680085149209445
CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,0.004678050714014559
INSTAL_AMT_INSTALMENT_STD,0.004672947284002955
INSTAL_NUM_INSTALMENT_NUMBER_MAX,0.0046365520481570725
PREV_CHANNEL_TYPE_Contact center_SHARE,0.0046261303052502764
NAME_HOUSING_TYPE,0.004565483622498086
PREV_DAYS_FIRST_DRAWING_MAX,0.00438715607875408
POS_NUNIQUE_PREV,0.00437585741824178
INSTAL_AMT_INSTALMENT_MEAN,0.004356425179050622
CC_AMT_BALANCE_MEAN,0.004339685406709111
PREV_DAYS_DECISION_MAX,0.0043200872335346025
INSTAL_DAYS_ENTRY_PAYMENT_MIN,0.0043085826493188505
POS_MONTHS_BALANCE_MIN,0.0042601644899062045
BUREAU_BB_STATUS_0_SHARE_STD,0.00425745836508215
POS_RECORDS,0.004237277375990728
REGION_RATING_CLIENT,0.004153204856761612
INSTAL_DAYS_LATE_MEAN,0.004146694180485191
PREV_DAYS_LAST_DUE_STD,0.004119032087690192
POS_CNT_INSTALMENT_STD,0.004067492212585533
PREV_CHANNEL_TYPE_Channel of corporate sales_SHARE,0.004032142850251871
BUREAU_DAYS_CREDIT_UPDATE_STD,0.0040311628746546
FLOORSMAX_AVG,0.003995883932068965
INSTAL_AMT_PAYMENT_STD,0.003991748305831312
BUREAU_DAYS_CREDIT_SUM,0.003977433382159022
APARTMENTS_AVG,0.0038801617962371656
BUREAU_BB_STATUS_X_SHARE_STD,0.003791089760686826
PREV_DAYS_FIRST_DUE_MAX,0.0037352093642915273
FLAG_DOCUMENT_16,0.0037090000127538497
BUREAU_DAYS_ENDDATE_FACT_STD,0.0036917741961892
POS_MONTHS_BALANCE_SUM,0.0036630909829630026
POS_SK_DPD_SUM,0.003656002534641577
PREV_AMT_ANNUITY_SUM,0.0036172318705545285
CC_AMT_PAYMENT_CURRENT_MEAN,0.0036160175934351812
CC_AMT_RECEIVABLE_PRINCIPAL_MEAN,0.0035988928953299385
PREV_AMT_GOODS_PRICE_STD,0.003591214249653553
INSTAL_DAYS_INSTALMENT_MEAN,0.0035687342261540543
FLAG_DOCUMENT_18,0.0035175974015771464
INSTAL_NUM_INSTALMENT_NUMBER_STD,0.0034551359712209654
BUREAU_AMT_CREDIT_SUM_STD,0.003441749922553954
PREV_AMT_CREDIT_MAX,0.0034383911997912455
PREV_NFLAG_INSURED_ON_APPROVAL_STD,0.0034347713412378796
PREV_SELLERPLACE_AREA_MEAN,0.0033974899397632386
CC_CNT_DRAWINGS_CURRENT_MAX,0.0033967044365503206
INSTAL_NUM_INSTALMENT_VERSION_MEAN,0.003385699078452939
POS_CNT_INSTALMENT_COUNT,0.0031746373331620276
PREV_AMT_GOODS_PRICE_MEAN,0.0031253123991293276
BUREAU_DAYS_CREDIT_ENDDATE_MEAN,0.0031021505117443584
POS_MONTHS_BALANCE_MEAN,0.0030450292799628314
PREV_RATE_DOWN_PAYMENT_STD,0.0030407891066899476
BUREAU_BB_STATUS_C_SHARE_MAX,0.0029950401513449947
INSTAL_PAYMENT_DIFF_STD,0.0029910108350957917
PREV_DAYS_FIRST_DRAWING_MIN,0.002972369849093747
YEARS_BEGINEXPLUATATION_MODE,0.0029569544085428284
INSTAL_DAYS_ENTRY_PAYMENT_SUM,0.0028845367122095978
CC_AMT_RECIVABLE_SUM,0.0028794616253867804
PREV_AMT_DOWN_PAYMENT_STD,0.002834463066564602
PREV_DAYS_LAST_DUE_MEAN,0.0028332719791302526
PREV_NAME_CLIENT_TYPE_Refreshed_SHARE,0.0028034611321735787
CC_AMT_BALANCE_SUM,0.002797601326014791
BUREAU_DAYS_CREDIT_ENDDATE_MIN,0.0027957265583698314
YEARS_BUILD_MODE,0.002782428061505345
PREV_DAYS_DECISION_MIN,0.0027657337551737896
CC_AMT_DRAWINGS_ATM_CURRENT_MEAN,0.0027638109661724634
BUREAU_DAYS_ENDDATE_FACT_MEAN,0.0027504136146629635
BUREAU_CREDIT_TYPE_Credit card_SHARE,0.0027406603402136357
PREV_AMT_ANNUITY_MAX,0.002662097489469005
PREV_CHANNEL_TYPE_Credit and cash offices_SHARE,0.002657451965467621
PREV_NAME_PORTFOLIO_POS_SHARE,0.002654220884975351
CC_AMT_RECEIVABLE_PRINCIPAL_MAX,0.002637517634712649
PREV_NAME_YIELD_GROUP_XNA_SHARE,0.002624082634399897
CC_AMT_INST_MIN_REGULARITY_STD,0.0026105739076720167
PREV_AMT_APPLICATION_MEAN,0.0025987479605626314
ENTRANCES_MEDI,0.0025835316392904574
BUREAU_DAYS_CREDIT_UPDATE_MEAN,0.0025799745675309242
BUREAU_DAYS_CREDIT_UPDATE_SUM,0.002567982046144034
PREV_SELLERPLACE_AREA_SUM,0.0025336100148671803
PREV_DAYS_LAST_DUE_1ST_VERSION_STD,0.0025227865925902255
PREV_DAYS_DECISION_STD,0.0024918745962226817
OBS_30_CNT_SOCIAL_CIRCLE,0.0024855610477821197
INSTAL_DAYS_ENTRY_PAYMENT_MEAN,0.0024492036722739492
PREV_SELLERPLACE_AREA_MAX,0.0024456022394507178
BUREAU_DAYS_ENDDATE_FACT_MIN,0.0024265452997571458
PREV_DAYS_TERMINATION_STD,0.00242406725119605
INSTAL_DAYS_INSTALMENT_SUM,0.002419755475447596
PREV_HOUR_APPR_PROCESS_START_SUM,0.002380689774443588
PREV_DAYS_DECISION_SUM,0.0023681496998457633
CC_AMT_BALANCE_MAX,0.0023476087289887692
PREV_DAYS_TERMINATION_MEAN,0.0023359556944042895
BUREAU_DAYS_CREDIT_STD,0.0023344095548082887
BUREAU_COUNT,0.0023219589443103997
PREV_DAYS_FIRST_DRAWING_MEAN,0.0023166340248657563
APARTMENTS_MODE,0.002297041018959186
POS_CNT_INSTALMENT_MEAN,0.0022792914657570984
PREV_CHANNEL_TYPE_AP+ (Cash loan)_SHARE,0.002278301247241661
PREV_AMT_ANNUITY_STD,0.002277048467803512
INSTAL_DAYS_ENTRY_PAYMENT_COUNT,0.0022760059128864923
BUREAU_DAYS_ENDDATE_FACT_SUM,0.002260984184211337
PREV_DAYS_FIRST_DUE_MEAN,0.0022559802225562806
CC_AMT_DRAWINGS_ATM_CURRENT_SUM,0.002234944252345222
INSTAL_NUM_INSTALMENT_VERSION_MAX,0.0022103645052857362
PREV_AMT_CREDIT_STD,0.0022016231374740714
CC_MONTHS_BALANCE_SUM,0.0021961600633003038
BUREAU_BB_MONTHS_BALANCE_MAX_MEAN,0.002191778504225751
INSTAL_NUM_INSTALMENT_NUMBER_SUM,0.0021839610695319686
PREV_DAYS_FIRST_DUE_STD,0.002170575145110485
PREV_AMT_CREDIT_MEAN,0.0021643049016603793
CC_AMT_BALANCE_STD,0.0021642776529135046
FONDKAPREMONT_MODE,0.002153929509376641
PREV_AMT_APPLICATION_STD,0.002136143471751047
PREV_AMT_APPLICATION_SUM,0.002116832484961981
PREV_NAME_CONTRACT_TYPE_Consumer loans_SHARE,0.0020864786215662417
PREV_NAME_CONTRACT_TYPE_Cash loans_SHARE,0.0020817325880715634
PREV_DAYS_LAST_DUE_1ST_VERSION_MIN,0.0020664058182468465
PREV_DAYS_FIRST_DUE_MIN,0.0020618383327670633
PREV_DAYS_LAST_DUE_MIN,0.002053905122947453
POS_CNT_INSTALMENT_FUTURE_SUM,0.0020516480528160303
YEARS_BEGINEXPLUATATION_AVG,0.0020478575866156243
BASEMENTAREA_AVG,0.002034258532640116
BUREAU_BB_STATUS_0_SHARE_MIN,0.002020778328528007
FLOORSMAX_MEDI,0.002007706642694804
CC_AMT_CREDIT_LIMIT_ACTUAL_SUM,0.0020017575409023913
PREV_NAME_CONTRACT_TYPE_Revolving loans_SHARE,0.001997890671344119
POS_NAME_CONTRACT_STATUS_Signed_SHARE,0.0019919043927367815
PREV_DAYS_DECISION_MEAN,0.001973739460591207
CC_NAME_CONTRACT_STATUS_Active_SHARE,0.0019016416284441463
BUREAU_DAYS_CREDIT_UPDATE_MIN,0.0018703677925828313
OBS_60_CNT_SOCIAL_CIRCLE,0.0018591665377108231
BUREAU_BB_STATUS_X_SHARE_MIN,0.00185074957059049
COMMONAREA_MEDI,0.0018494356940559956
LIVINGAREA_AVG,0.0018335525110991454
CC_AMT_RECIVABLE_MEAN,0.0018306840423034806
POS_CNT_INSTALMENT_SUM,0.001802360783757921
POS_NAME_CONTRACT_STATUS_Completed_SHARE,0.0017857278284742477
PREV_NAME_YIELD_GROUP_middle_SHARE,0.0017794429523296912
POS_SK_DPD_STD,0.0017701627042949904
PREV_SELLERPLACE_AREA_STD,0.0017694627082442307
CC_AMT_RECIVABLE_MAX,0.001764376113998441
POS_SK_DPD_DEF_MAX,0.0017617784654358677
CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,0.0017549888892017182
CC_AMT_DRAWINGS_ATM_CURRENT_STD,0.001708242462953858
ENTRANCES_AVG,0.0017067674139811572
BUREAU_AMT_CREDIT_MAX_OVERDUE_MIN,0.001696374742796009
BUREAU_AMT_CREDIT_SUM_LIMIT_SUM,0.0016757890860123123
BUREAU_BB_MONTHS_BALANCE_SUM_SUM,0.0016682108550792013
PREV_DAYS_TERMINATION_MIN,0.0016457911832753894
PREV_NFLAG_INSURED_ON_APPROVAL_SUM,0.00163363214859955
BUREAU_BB_MONTHS_BALANCE_MIN_STD,0.0016015092358944627
LIVE_CITY_NOT_WORK_CITY,0.0015576033269900094
BUREAU_AMT_ANNUITY_STD,0.0015560197681776032
INSTAL_RECORDS,0.0015491051178913163
CC_AMT_DRAWINGS_CURRENT_MEAN,0.0015454189600784573
LIVINGAREA_MODE,0.0015398671514527714
POS_CNT_INSTALMENT_FUTURE_COUNT,0.0015354308185739514
BUREAU_CREDIT_TYPE_Consumer credit_SHARE,0.0015184171998740435
CC_AMT_RECIVABLE_STD,0.0015105004511945137
CC_CNT_INSTALMENT_MATURE_CUM_MEAN,0.001508616504978168
BUREAU_BB_COUNT_SUM,0.0015079062202936293
PREV_CHANNEL_TYPE_Country-wide_SHARE,0.0015020957513767598
BUREAU_BB_DPD_FLAG_MAX_MEAN,0.001489957922075889
POS_CNT_INSTALMENT_MIN,0.0014870055561639888
BUREAU_BB_MONTHS_BALANCE_MEAN_MEAN,0.0014863429197926217
CC_AMT_CREDIT_LIMIT_ACTUAL_MIN,0.0014789971698353109
PREV_NAME_PORTFOLIO_Cash_SHARE,0.001471386840889561
PREV_DAYS_FIRST_DUE_SUM,0.0014340249180646225
NONLIVINGAPARTMENTS_MODE,0.0014286952249029912
POS_NAME_CONTRACT_STATUS_Returned to the store_SHARE,0.0014203034734291172
PREV_HOUR_APPR_PROCESS_START_MIN,0.0014019256789194897
FLAG_OWN_REALTY,0.0013956108118380924
APARTMENTS_MEDI,0.001391150035924318
BUREAU_CREDIT_ACTIVE_Sold_SHARE,0.0013806513971193852
BUREAU_DAYS_CREDIT_ENDDATE_COUNT,0.0013668829878141719
BUREAU_AMT_CREDIT_SUM_LIMIT_COUNT,0.0013629307474662536
CC_AMT_DRAWINGS_POS_CURRENT_SUM,0.001335004890656581
PREV_CNT_PAYMENT_MIN,0.0013318860652445444
CC_AMT_PAYMENT_CURRENT_MIN,0.0013206994177469952
NONLIVINGAREA_MODE,0.001318939577691699
PREV_NAME_PORTFOLIO_Cards_SHARE,0.0013156209162778184
NONLIVINGAREA_AVG,0.0013020322198647007
PREV_AMT_APPLICATION_MAX,0.0012715736647868825
LIVINGAREA_MEDI,0.0012705772492110317
CC_AMT_PAYMENT_TOTAL_CURRENT_MAX,0.0012680204894460203
LANDAREA_AVG,0.0012673879505925825
PREV_AMT_CREDIT_SUM,0.001254750962947554
BUREAU_BB_STATUS_0_SHARE_MEAN,0.0012515954125243008
PREV_AMT_GOODS_PRICE_MAX,0.0012463916251840667
BUREAU_BB_STATUS_C_SHARE_MIN,0.0012382333058615549
BUREAU_BB_STATUS_C_SHARE_SUM,0.001233404142482236
PREV_AMT_DOWN_PAYMENT_MIN,0.0012023280230924283
AMT_REQ_CREDIT_BUREAU_YEAR,0.001201230223472771
BUREAU_BB_STATUS_C_SHARE_MEAN,0.0011896214209418108
COMMONAREA_AVG,0.0011890630057518887
BUREAU_BB_STATUS_0_SHARE_MAX,0.0011532865472509346
LIVINGAPARTMENTS_MODE,0.001152591445630083
CNT_CHILDREN,0.0011484472938980905
BUREAU_BB_STATUS_0_SHARE_SUM,0.0011471359737898258
PREV_DAYS_TERMINATION_SUM,0.001142195242795835
PREV_NAME_CLIENT_TYPE_Repeater_SHARE,0.001137883035529998
CC_CNT_DRAWINGS_POS_CURRENT_MAX,0.0011370849708208584
POS_SK_DPD_MEAN,0.0011208413416239737
PREV_AMT_CREDIT_MIN,0.0011052924012611369
CC_AMT_DRAWINGS_CURRENT_STD,0.0011031325246195686
BUREAU_BB_MONTHS_BALANCE_SUM_STD,0.0011013774300612303
POS_CNT_INSTALMENT_FUTURE_MAX,0.0011011142922254728
BUREAU_BB_MONTHS_BALANCE_MAX_STD,0.0010977909220374225
CC_AMT_RECEIVABLE_PRINCIPAL_SUM,0.001093041530360453
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,0.001091043615448057
PREV_NAME_PORTFOLIO_XNA_SHARE,0.0010897150758724906
BUREAU_DAYS_ENDDATE_FACT_COUNT,0.0010869733441066013
BASEMENTAREA_MEDI,0.001070196672620462
PREV_CHANNEL_TYPE_Stone_SHARE,0.0010693047369695601
CC_AMT_BALANCE_MIN,0.001065989988622317
PREV_SELLERPLACE_AREA_MIN,0.0010655579850706142
LANDAREA_MODE,0.0010607095193253659
PREV_DAYS_LAST_DUE_SUM,0.0010525585948031367
BASEMENTAREA_MODE,0.0010489201820810213
FLAG_DOCUMENT_13,0.0010442767091080577
BUREAU_BB_STATUS_1_SHARE_MAX,0.0010294743967680256
PREV_CHANNEL_TYPE_Regional / Local_SHARE,0.0010250198549392013
PREV_AMT_APPLICATION_MIN,0.0010174700527208864
CC_CNT_DRAWINGS_CURRENT_SUM,0.0010170739014703218
LANDAREA_MEDI,0.0010020320648632603
ELEVATORS_AVG,0.0009990463150132938
CC_AMT_PAYMENT_CURRENT_STD,0.0009967599471877539
BUREAU_BB_MONTHS_BALANCE_MEAN_MIN,0.0009905001780891793
CC_AMT_INST_MIN_REGULARITY_MEAN,0.0009864175269600985
BUREAU_BB_COUNT_MEAN,0.000982773216406743
BUREAU_AMT_ANNUITY_SUM,0.0009818732886465358
BUREAU_AMT_ANNUITY_MEAN,0.0009781819771997847
POS_SK_DPD_DEF_SUM,0.0009741535182002488
CC_AMT_CREDIT_LIMIT_ACTUAL_STD,0.0009712688223250937
BUREAU_AMT_ANNUITY_MAX,0.0009671960513262857
BUREAU_BB_MONTHS_BALANCE_SUM_MEAN,0.0009541717173084595
CC_AMT_TOTAL_RECEIVABLE_SUM,0.0009472248659138579
BUREAU_BB_MONTHS_BALANCE_MEAN_STD,0.0009371640694872856
POS_SK_DPD_MAX,0.000926863499006579
NONLIVINGAREA_MEDI,0.0009231216435237938
BUREAU_BB_DPD_FLAG_SUM_STD,0.0009209443406725039
LIVINGAPARTMENTS_MEDI,0.0009155785476561297
BUREAU_BB_MONTHS_BALANCE_MEAN_MAX,0.0009150559006253943
BUREAU_BB_MONTHS_BALANCE_STD_SUM,0.000912842942718612
CC_CNT_DRAWINGS_POS_CURRENT_STD,0.000911062522914741
NONLIVINGAPARTMENTS_AVG,0.0009106949039948797
BUREAU_BB_STATUS_X_SHARE_SUM,0.0008789520949480963
LIVINGAPARTMENTS_AVG,0.0008643981212934552
ENTRANCES_MODE,0.0008560478516129008
YEARS_BUILD_MEDI,0.0008519672686825416
CC_AMT_PAYMENT_CURRENT_MAX,0.0008508545423924578
CC_MONTHS_BALANCE_MEAN,0.0008467753793255076
YEARS_BUILD_AVG,0.0008375902116946898
BUREAU_BB_MONTHS_BALANCE_STD_MIN,0.0008301460569036812
BUREAU_BB_MONTHS_BALANCE_MIN_MEAN,0.0008269859249543181
BUREAU_AMT_CREDIT_MAX_OVERDUE_COUNT,0.00082589610284886
BUREAU_BB_DPD_FLAG_MEAN_STD,0.0008247141208473376
BUREAU_BB_STATUS_C_SHARE_STD,0.0008044830092180847
CC_SK_DPD_DEF_MEAN,0.0007847824076106609
BUREAU_BB_DPD_FLAG_STD_MEAN,0.0007842530993362588
BUREAU_BB_DPD_FLAG_SUM_MAX,0.0007830774534196644
CC_AMT_RECEIVABLE_PRINCIPAL_STD,0.0007751454296356314
FLOORSMAX_MODE,0.0007656199690252269
NONLIVINGAPARTMENTS_MEDI,0.0007631912335924752
COMMONAREA_MODE,0.0007615702825369471
BUREAU_BB_MONTHS_BALANCE_STD_COUNT,0.000750113006811555
NAME_TYPE_SUITE,0.0007490478967075768
CC_AMT_DRAWINGS_ATM_CURRENT_MAX,0.0007422274769564907
CC_AMT_PAYMENT_TOTAL_CURRENT_STD,0.000740430346745082
BUREAU_BB_MONTHS_BALANCE_MIN_SUM,0.0007393212637523405
CC_MONTHS_BALANCE_STD,0.0007188720025659429
POS_CNT_INSTALMENT_MAX,0.0007075561111608375
BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,0.0007058761109797348
CC_AMT_PAYMENT_CURRENT_COUNT,0.0006864650071219577
CC_AMT_INST_MIN_REGULARITY_MAX,0.0006817850316746651
CC_CNT_DRAWINGS_POS_CURRENT_MEAN,0.0006786868220591334
BUREAU_BB_MONTHS_BALANCE_SUM_MIN,0.000671259485917249
BUREAU_BB_STATUS_1_SHARE_MEAN,0.0006710660830277644
CC_AMT_BALANCE_COUNT,0.0006654071505489868
BUREAU_CREDIT_DAY_OVERDUE_STD,0.0006652243263709861
BUREAU_BB_DPD_FLAG_SUM_MEAN,0.0006643841169118583
CC_CNT_DRAWINGS_POS_CURRENT_SUM,0.0006562026556240536
AMT_REQ_CREDIT_BUREAU_MON,0.0006517996977584517
CC_AMT_RECIVABLE_MIN,0.0006502377562158133
CC_AMT_TOTAL_RECEIVABLE_STD,0.0006468781568812645
CC_SK_DPD_STD,0.0006443706229016983
